"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","16923","p3xfr19ms7z","goose","","","","","","","","","",""
"true","","","","","fullscreen","1","null","32085","p3xfr19ms7z","goose","14157","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","40944","p3xfr19ms7z","goose","8855","Welcome to the experiment. Press any key to begin.","Enter","","","","","","",""
"","","","","","survey-text","3","2.0.0","45164","p3xfr19ms7z","goose","4211","","{""participant_id"":""goose""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","62157","p3xfr19ms7z","goose","16984","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","Enter","","","","","","",""
"","","","","","survey-multi-choice","5","null","86453","p3xfr19ms7z","goose","24287","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","89244","p3xfr19ms7z","goose","2788","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","95452","p3xfr19ms7z","goose","6206","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","8","null","108114","p3xfr19ms7z","goose","12659","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","108986","p3xfr19ms7z","goose","870","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","111129","p3xfr19ms7z","goose","2140","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","115733","p3xfr19ms7z","goose","4602","<img src=""stimuli/2_100.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","13","2.0.0","116737","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","14","2.0.0","120171","p3xfr19ms7z","goose","3177","<img src=""stimuli/1_100_R.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","15","2.0.0","121174","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","124834","p3xfr19ms7z","goose","3406","<img src=""stimuli/1_150.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","17","2.0.0","125837","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","129022","p3xfr19ms7z","goose","2931","<img src=""stimuli/2_150_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","19","2.0.0","130027","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","131982","p3xfr19ms7z","goose","1699","<img src=""stimuli/2_0.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","21","2.0.0","132985","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","22","2.0.0","135798","p3xfr19ms7z","goose","2560","<img src=""stimuli/1_50.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","23","2.0.0","136801","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","138829","p3xfr19ms7z","goose","1775","<img src=""stimuli/2_50_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","25","2.0.0","139831","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","142207","p3xfr19ms7z","goose","2123","<img src=""stimuli/1_0_R.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","27","2.0.0","143210","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","149056","p3xfr19ms7z","goose","5592","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","29","2.0.0","152487","p3xfr19ms7z","goose","3423","stimuli/17_0.jpg","f","","","false","17","0","same","j"
"","","","","","html-keyboard-response","30","2.0.0","153817","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","31","2.0.0","155808","p3xfr19ms7z","goose","1988","stimuli/31_150_R.jpg","f","","","true","31","150","different","f"
"","","","","","image-keyboard-response","33","2.0.0","157812","p3xfr19ms7z","goose","1675","stimuli/2_50.jpg","j","","","true","2","50","same","j"
"","","","","","image-keyboard-response","35","2.0.0","159807","p3xfr19ms7z","goose","1668","stimuli/28_50.jpg","j","","","true","28","50","same","j"
"","","","","","image-keyboard-response","37","2.0.0","161187","p3xfr19ms7z","goose","1050","stimuli/41_0_R.jpg","f","","","true","41","0","different","f"
"","","","","","image-keyboard-response","39","2.0.0","162897","p3xfr19ms7z","goose","1382","stimuli/38_50.jpg","j","","","true","38","50","same","j"
"","","","","","image-keyboard-response","41","2.0.0","164914","p3xfr19ms7z","goose","1688","stimuli/5_0_R.jpg","f","","","true","5","0","different","f"
"","","","","","image-keyboard-response","43","2.0.0","168200","p3xfr19ms7z","goose","2958","stimuli/11_150_R.jpg","j","","","false","11","150","different","f"
"","","","","","html-keyboard-response","44","2.0.0","169528","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","45","2.0.0","170778","p3xfr19ms7z","goose","1247","stimuli/45_0.jpg","j","","","true","45","0","same","j"
"","","","","","image-keyboard-response","47","2.0.0","172999","p3xfr19ms7z","goose","1893","stimuli/45_150_R.jpg","f","","","true","45","150","different","f"
"","","","","","image-keyboard-response","49","2.0.0","174388","p3xfr19ms7z","goose","1061","stimuli/3_0.jpg","j","","","true","3","0","same","j"
"","","","","","image-keyboard-response","51","2.0.0","176679","p3xfr19ms7z","goose","1963","stimuli/26_100.jpg","j","","","true","26","100","same","j"
"","","","","","image-keyboard-response","53","2.0.0","178151","p3xfr19ms7z","goose","1144","stimuli/26_100_R.jpg","f","","","true","26","100","different","f"
"","","","","","image-keyboard-response","55","2.0.0","181825","p3xfr19ms7z","goose","3347","stimuli/17_100_R.jpg","j","","","false","17","100","different","f"
"","","","","","html-keyboard-response","56","2.0.0","183154","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","57","2.0.0","184843","p3xfr19ms7z","goose","1686","stimuli/15_50_R.jpg","f","","","true","15","50","different","f"
"","","","","","image-keyboard-response","59","2.0.0","186319","p3xfr19ms7z","goose","1148","stimuli/16_50.jpg","j","","","true","16","50","same","j"
"","","","","","image-keyboard-response","61","2.0.0","187500","p3xfr19ms7z","goose","853","stimuli/25_0.jpg","j","","","true","25","0","same","j"
"","","","","","image-keyboard-response","63","2.0.0","188667","p3xfr19ms7z","goose","838","stimuli/14_50_R.jpg","f","","","true","14","50","different","f"
"","","","","","image-keyboard-response","65","2.0.0","190548","p3xfr19ms7z","goose","1553","stimuli/6_0.jpg","j","","","true","6","0","same","j"
"","","","","","image-keyboard-response","67","2.0.0","192714","p3xfr19ms7z","goose","1838","stimuli/22_100_R.jpg","f","","","true","22","100","different","f"
"","","","","","image-keyboard-response","69","2.0.0","195565","p3xfr19ms7z","goose","2522","stimuli/15_50.jpg","j","","","true","15","50","same","j"
"","","","","","image-keyboard-response","71","2.0.0","198486","p3xfr19ms7z","goose","2594","stimuli/33_0_R.jpg","f","","","true","33","0","different","f"
"","","","","","image-keyboard-response","73","2.0.0","200593","p3xfr19ms7z","goose","1779","stimuli/22_50_R.jpg","f","","","true","22","50","different","f"
"","","","","","image-keyboard-response","75","2.0.0","202794","p3xfr19ms7z","goose","1873","stimuli/46_50.jpg","j","","","true","46","50","same","j"
"","","","","","image-keyboard-response","77","2.0.0","204457","p3xfr19ms7z","goose","1337","stimuli/15_0_R.jpg","f","","","true","15","0","different","f"
"","","","","","image-keyboard-response","79","2.0.0","207692","p3xfr19ms7z","goose","2906","stimuli/19_100_R.jpg","j","","","false","19","100","different","f"
"","","","","","html-keyboard-response","80","2.0.0","209020","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","81","2.0.0","210861","p3xfr19ms7z","goose","1838","stimuli/17_50_R.jpg","f","","","true","17","50","different","f"
"","","","","","image-keyboard-response","83","2.0.0","214422","p3xfr19ms7z","goose","3232","stimuli/36_50.jpg","j","","","true","36","50","same","j"
"","","","","","image-keyboard-response","85","2.0.0","218142","p3xfr19ms7z","goose","3391","stimuli/37_100.jpg","f","","","false","37","100","same","j"
"","","","","","html-keyboard-response","86","2.0.0","219471","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","87","2.0.0","220967","p3xfr19ms7z","goose","1493","stimuli/40_0.jpg","j","","","true","40","0","same","j"
"","","","","","image-keyboard-response","89","2.0.0","226686","p3xfr19ms7z","goose","5391","stimuli/23_150_R.jpg","f","","","true","23","150","different","f"
"","","","","","image-keyboard-response","91","2.0.0","230466","p3xfr19ms7z","goose","3452","stimuli/20_150.jpg","j","","","true","20","150","same","j"
"","","","","","image-keyboard-response","93","2.0.0","233787","p3xfr19ms7z","goose","2993","stimuli/35_50.jpg","f","","","false","35","50","same","j"
"","","","","","html-keyboard-response","94","2.0.0","235117","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","95","2.0.0","237579","p3xfr19ms7z","goose","2460","stimuli/10_50.jpg","j","","","true","10","50","same","j"
"","","","","","image-keyboard-response","97","2.0.0","239125","p3xfr19ms7z","goose","1217","stimuli/19_0_R.jpg","j","","","false","19","0","different","f"
"","","","","","html-keyboard-response","98","2.0.0","240454","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","99","2.0.0","242054","p3xfr19ms7z","goose","1598","stimuli/19_100.jpg","j","","","true","19","100","same","j"
"","","","","","image-keyboard-response","101","2.0.0","244705","p3xfr19ms7z","goose","2323","stimuli/28_100_R.jpg","f","","","true","28","100","different","f"
"","","","","","image-keyboard-response","103","2.0.0","248548","p3xfr19ms7z","goose","3515","stimuli/47_50_R.jpg","f","","","true","47","50","different","f"
"","","","","","image-keyboard-response","105","2.0.0","250602","p3xfr19ms7z","goose","1725","stimuli/19_50_R.jpg","j","","","false","19","50","different","f"
"","","","","","html-keyboard-response","106","2.0.0","251929","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","107","2.0.0","256194","p3xfr19ms7z","goose","4263","stimuli/3_150.jpg","f","","","false","3","150","same","j"
"","","","","","html-keyboard-response","108","2.0.0","257523","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","109","2.0.0","261777","p3xfr19ms7z","goose","4252","stimuli/43_50.jpg","j","","","true","43","50","same","j"
"","","","","","image-keyboard-response","111","2.0.0","265840","p3xfr19ms7z","goose","3735","stimuli/9_150.jpg","j","","","true","9","150","same","j"
"","","","","","image-keyboard-response","113","2.0.0","273631","p3xfr19ms7z","goose","7462","stimuli/47_150_R.jpg","j","","","false","47","150","different","f"
"","","","","","html-keyboard-response","114","2.0.0","274962","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","115","2.0.0","277316","p3xfr19ms7z","goose","2349","stimuli/33_100.jpg","j","","","true","33","100","same","j"
"","","","","","image-keyboard-response","117","2.0.0","280394","p3xfr19ms7z","goose","2747","stimuli/38_100_R.jpg","f","","","true","38","100","different","f"
"","","","","","image-keyboard-response","119","2.0.0","286184","p3xfr19ms7z","goose","5462","stimuli/27_150.jpg","f","","","false","27","150","same","j"
"","","","","","html-keyboard-response","120","2.0.0","287513","p3xfr19ms7z","goose","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","121","2.0.0","293306","p3xfr19ms7z","goose","5791","stimuli/8_100_R.jpg","f","","","true","8","100","different","f"
"","","","","","image-keyboard-response","123","2.0.0","295293","p3xfr19ms7z","goose","1659","stimuli/30_0_R.jpg","f","","","true","30","0","different","f"
"","","","","","html-keyboard-response","125","2.0.0","411283","p3xfr19ms7z","goose","115660","You may now take a brief break before the next block. Press any key to continue."," ","","","","","","",""
"","","","","","image-keyboard-response","126","2.0.0","413600","p3xfr19ms7z","goose","2313","stimuli/13_150_R.jpg","f","","","true","13","150","different","f"
