"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","2494","pja59lxpprg","camel","","","","","","","","","",""
"true","","","","","fullscreen","1","null","4742","pja59lxpprg","camel","1234","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","5553","pja59lxpprg","camel","808","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","8568","pja59lxpprg","camel","3008","","{""participant_id"":""camel""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","14361","pja59lxpprg","camel","5788","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","32712","pja59lxpprg","camel","18341","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","34675","pja59lxpprg","camel","1960","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","35753","pja59lxpprg","camel","1075","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","40688","pja59lxpprg","camel","4931","<img src=""stimuli/1_150.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","10","2.0.0","41705","pja59lxpprg","camel","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","46071","pja59lxpprg","camel","4109","<img src=""stimuli/2_150_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","47088","pja59lxpprg","camel","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","51477","pja59lxpprg","camel","4132","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","52486","pja59lxpprg","camel","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","55141","pja59lxpprg","camel","2389","<img src=""stimuli/2_100.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","56157","pja59lxpprg","camel","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","57901","pja59lxpprg","camel","1489","<img src=""stimuli/2_0.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","18","2.0.0","58904","pja59lxpprg","camel","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","60871","pja59lxpprg","camel","1698","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","61878","pja59lxpprg","camel","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","64735","pja59lxpprg","camel","2596","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
