"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","5198","pglgu8eum9z","wolf","","","","","","","","","",""
"true","","","","","fullscreen","1","null","8055","pglgu8eum9z","wolf","1853","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","8939","pglgu8eum9z","wolf","882","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","12360","pglgu8eum9z","wolf","3416","","{""participant_id"":""wolf""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","22008","pglgu8eum9z","wolf","9646","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","Enter","","","","","","",""
"","","","","","survey-multi-choice","5","null","67264","pglgu8eum9z","wolf","45254","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","71883","pglgu8eum9z","wolf","4618","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","74260","pglgu8eum9z","wolf","2376","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","79183","pglgu8eum9z","wolf","4922","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","10","2.0.0","80186","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","87144","pglgu8eum9z","wolf","6705","<img src=""stimuli/2_150_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","88146","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","90817","pglgu8eum9z","wolf","2419","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","91819","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","93854","pglgu8eum9z","wolf","1782","<img src=""stimuli/2_0.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","94857","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","100349","pglgu8eum9z","wolf","5239","<img src=""stimuli/2_100.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","18","2.0.0","101352","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","106085","pglgu8eum9z","wolf","4479","<img src=""stimuli/1_150.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","107087","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","110329","pglgu8eum9z","wolf","2988","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","111330","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","115475","pglgu8eum9z","wolf","3891","<img src=""stimuli/1_100_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","24","2.0.0","116477","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","123078","pglgu8eum9z","wolf","6348","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","26","2.0.0","125304","pglgu8eum9z","wolf","2221","stimuli/12_100_R.jpg","j","","","true","12","100","different","j"
"","","","","","image-keyboard-response","28","2.0.0","131967","pglgu8eum9z","wolf","6290","stimuli/17_150_R.jpg","j","","","true","17","150","different","j"
"","","","","","image-keyboard-response","30","2.0.0","134105","pglgu8eum9z","wolf","1765","stimuli/18_0.jpg","f","","","true","18","0","same","f"
"","","","","","image-keyboard-response","32","2.0.0","138071","pglgu8eum9z","wolf","3593","stimuli/11_50.jpg","f","","","true","11","50","same","f"
"","","","","","image-keyboard-response","34","2.0.0","142522","pglgu8eum9z","wolf","4079","stimuli/31_100_R.jpg","j","","","true","31","100","different","j"
"","","","","","image-keyboard-response","36","2.0.0","149343","pglgu8eum9z","wolf","6449","stimuli/40_100.jpg","j","","","false","40","100","same","f"
"","","","","","html-keyboard-response","37","2.0.0","150716","pglgu8eum9z","wolf","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","38","2.0.0","155725","pglgu8eum9z","wolf","5008","stimuli/45_50_R.jpg","j","","","true","45","50","different","j"
