"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","4153","p9udf0wcadf","jaguar","","","","","","","","","",""
"true","","","","","fullscreen","1","null","7876","p9udf0wcadf","jaguar","2719","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","9027","p9udf0wcadf","jaguar","1149","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","11253","p9udf0wcadf","jaguar","2218","","{""participant_id"":""jaguar""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","20171","p9udf0wcadf","jaguar","8917","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","29808","p9udf0wcadf","jaguar","9632","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","31345","p9udf0wcadf","jaguar","1534","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","33157","p9udf0wcadf","jaguar","1810","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","35750","p9udf0wcadf","jaguar","2591","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","10","2.0.0","36758","p9udf0wcadf","jaguar","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","39101","p9udf0wcadf","jaguar","2083","<img src=""stimuli/2_150_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","40110","p9udf0wcadf","jaguar","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","42518","p9udf0wcadf","jaguar","2151","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","43529","p9udf0wcadf","jaguar","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","46275","p9udf0wcadf","jaguar","2489","<img src=""stimuli/1_150.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","47288","p9udf0wcadf","jaguar","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
